classIDx,frame_idx,mean_score,std_score,min_score,max_score
66,157,0.04002,0.01307,0.0192,0.05621
66,158,0.05286,0.02253,0.01081,0.07362
66,159,0.04631,0.0172,0.01436,0.06306
66,160,0.05934,0.01295,0.0355,0.07587
66,161,0.05075,0.0062,0.03814,0.05813
66,162,0.03888,0.00888,0.02358,0.05175
66,163,0.04221,0.01195,0.01819,0.05504
66,164,0.04786,0.01554,0.01438,0.05836
66,165,0.0464,0.01486,0.01449,0.05663
66,166,0.04912,0.01559,0.01447,0.05807
66,167,0.04699,0.00968,0.02862,0.06076
66,168,0.04511,0.00581,0.03873,0.0559
66,169,0.03981,0.00593,0.03374,0.05135
66,170,0.04232,0.00526,0.03722,0.0511
66,171,0.04414,0.00472,0.03554,0.0496
66,172,0.04676,0.00516,0.03817,0.05539
66,173,0.0449,0.00346,0.04043,0.05016
66,174,0.04767,0.0023,0.04415,0.0517
66,175,0.04531,0.00277,0.04141,0.04916
66,176,0.0415,0.00536,0.03344,0.04983
66,177,0.04208,0.00621,0.03233,0.05059
66,178,0.05193,0.01012,0.03203,0.06619
66,179,0.044,0.0105,0.03171,0.06486
66,180,0.04109,0.00943,0.03356,0.06117
66,181,0.04248,0.00639,0.03434,0.05478
66,182,0.04239,0.00718,0.03381,0.05658
66,183,0.03531,0.00746,0.02603,0.05037
66,184,0.03638,0.00898,0.0279,0.05438
66,185,0.03495,0.00725,0.02139,0.04467
66,186,0.04291,0.00754,0.03564,0.05885
66,187,0.04022,0.00921,0.02382,0.05448
66,188,0.03561,0.00784,0.0247,0.04947
66,189,0.03538,0.00906,0.02194,0.05036
66,190,0.04397,0.00863,0.02611,0.05256
66,191,0.04152,0.00744,0.02626,0.04869
66,192,0.04266,0.01041,0.02122,0.0512
66,193,0.04242,0.01088,0.0191,0.05109
66,194,0.04658,0.01155,0.0222,0.05807
66,195,0.04479,0.00829,0.02692,0.05108
66,196,0.04765,0.0065,0.03352,0.05273
66,197,0.04633,0.00861,0.02859,0.05635
66,198,0.05022,0.01155,0.02656,0.06295
66,199,0.0469,0.01035,0.02461,0.05626
66,200,0.04318,0.00966,0.02415,0.05406
66,201,0.03686,0.009,0.02198,0.05001
66,202,0.03966,0.00847,0.02293,0.05037
66,203,0.0423,0.00943,0.02695,0.05555
72,1,0.01238,0.00759,0.00174,0.02411
72,2,0.01992,0.01318,0.00149,0.03582
72,3,0.02757,0.00917,0.00907,0.03874
72,4,0.03905,0.01209,0.01727,0.05655
72,5,0.03712,0.01433,0.01892,0.05766
72,6,0.03785,0.01606,0.01726,0.06141
72,7,0.03711,0.01441,0.01577,0.05901
72,8,0.0367,0.01322,0.0196,0.05416
72,9,0.03242,0.01409,0.00995,0.04888
72,10,0.03492,0.0116,0.01742,0.04926
72,11,0.03475,0.01375,0.01479,0.05278
72,12,0.03523,0.01129,0.01835,0.04984
72,13,0.03222,0.01264,0.01243,0.04774
72,14,0.03612,0.01422,0.01386,0.05498
72,15,0.03197,0.01615,0.01027,0.05609
